,value
experiment type,wavenumber kappa
n_steps,2
temp,0.1
method,sequential
C,1
kappa,2.0
alpha,-1
n,1
u,1
num_field_coeffs,1
range1,[0.005 0.105 0.205 0.305 0.405 0.505 0.605 0.705 0.805 0.905 1.005]
range2,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2. ]"
radius,1
amplitude,0
wavenumber,1.005
measure every n ampsteps,200
total number ampsteps,400
notes, TEST coarse exploration of kappa-kb plane with -1 to 1 field coefficients to see in what regions field is in -1 or 1 mode.  long simulations needed because switch event is probably rare. with new scheme measuring every n steps 
fieldsteps per ampstep,5
